,adress,house_type,biarea_msq,sold_price_kr,date_sold,price_diff_%,agent,size_msq,rooms,omrade,kommun,utgangspris_kr
0,Västra Mjörnvägen 62,Vinterbonat fritidshus,,3650000,2020-06-25,46,Gofab Fastighetsbyrå,81,5,Tjörn,Tjörn,2500000
1,Södra Moränvägen 40,Villa,          64         ,3600000,2020-06-24,13,Fastighetsbyrån,219,6,Ed,Dals-Ed,3175000
2,Röds höjd 134,Villa,          75         ,2450000,2020-06-24,-6,Fastighetsbyrån,100,5,Svenshögen,Stenungsund,2600000
3,Lugnås Magnilund 1,Villa,          8         ,1920000,2020-06-24,28,Fastighetsbyrån,79,5,Lugnås,Mariestad,1500000
4,Sågdammsvägen 9,Villa,,3850000,2020-06-24,7,Fastighetsbyrån,87,4,Landvetter,Härryda,3600000
5,Nyböle 230,Villa,          24         ,2500000,2020-06-24,19,Svensk Fastighetsförmedling,138,6,Vänersborg,Vänersborg,2100000
6,Åsakroken 10,Villa,,2190000,2020-06-24,0,Svensk Fastighetsförmedling,128,4,Viskafors,Borås,2200000
7,Slingervägen 19,Villa,          68         ,1750000,2020-06-24,17,SkandiaMäklarna,109,5,Hammarsjorden,Hjo,1500000
8,Staby 260,Villa,          90         ,2650000,2020-06-24,18,ERA,115,6,Staby,Kungälv,2250000
9,Gärdesbergen 183,Vinterbonat fritidshus,          17         ,3700000,2020-06-23,16,Fastighetsbyrån,122,5,Tjörn,Tjörn,3200000
10,Humlevägen 5,Villa,          78         ,1750000,2020-06-23,0,Fastighetsbyrån,110,5,Östermalm,Skövde,1750000
11,Högstena Tvillingsgården 1,Villa,          16         ,2900000,2020-06-23,9,Fastighetsbyrån,163,6,Högstena,Falköping,2650000
12,Södra Granliden 13,Villa,          80         ,3150000,2020-06-23,9,Fastighetsbyrån,115,6,Göta Och Ryrsjön,Lilla Edet,2900000
13,Iglatjärnsvägen 59A,Villa,,3585000,2020-06-23,21,Fastighetsbyrån,148,6,Olofstorp,Göteborg,2975000
14,Korpegatan 7,Villa,          60         ,3950000,2020-06-23,-1,Fastighetsbyrån,95,4,Centralt,Strömstad,4000000
15,Videgatan 3,Villa,          67         ,1775000,2020-06-23,11,Svensk Fastighetsförmedling,115,4,Tidaholm,Tidaholm,1600000
16,Vassbo 250,Villa,,3650000,2020-06-23,0,Peter Mäklare ,156,4,Ljungskile - Vassbovik,Uddevalla,3650000
17,Lövsångarevägen 15,Villa,          154         ,2675000,2020-06-23,18,Länsförsäkringar Fastighetsförmedling,118,7,Tanum,Tanum,2275000
18,Sollum 108,Villa,,3875000,2020-06-23,-3,ERA,135,6,Hjärtum,Lilla Edet,4000000
19,Ginkalunda Gatan,Villa,          80         ,2800000,2020-06-22,40,Fastighetsbyrån,160,7,Kinna,Mark,2000000
20,Kvarnbacksvägen 3,Villa,          43         ,2325000,2020-06-22,3,Fastighetsbyrån,163,7,Helås,Vara,2250000
21,Sandängsvägen 6,Villa,          15         ,3495000,2020-06-22,0,Fastighetsbyrån,208,7,Skene,Mark,3500000
22,Mariesjövägen 32,Villa,          65         ,2300000,2020-06-22,15,Fastighetsbyrån,65,4,Mariesjö,Skövde,2000000
23,Lilla Risa 2,Villa,,2900000,2020-06-22,-3,Fastighetsbyrån,180,6,Segerstorp,Skövde,3000000
24,Porsholmsvägen,Villa,,2481250,2020-06-22,-50,Fastighetsbyrån,117,5,Tjuvkil/lycke,Kungälv,4950000
25,Parkvägen 3,Villa,          75         ,3600000,2020-06-22,0,Länsförsäkringar Fastighetsförmedling,130,4,Lindome,Mölndal,3600000
26,Hagagatan 2,Villa,          92         ,3100000,2020-06-22,15,Fastighetsbyrån,198,10,Grangärdet,Mariestad,2700000
27,Mölnesjögatan 97,Villa,          26         ,3525000,2020-06-22,4,Länsförsäkringar Fastighetsförmedling,120,5,Rannebergen,Göteborg,3400000
28,Lyckogången 1,Ej specificerad villa,          98         ,1900000,2020-06-22,-3,Länsförsäkringar Fastighetsförmedling,98,5,Sörmarken,Borås,1950000
29,Torpvägen 1,Villa,          8         ,3850000,2020-06-22,7,Svensk Fastighetsförmedling,150,5,Skara,Skara,3600000
30,Komlösa Svensgården 7,Gård,          60         ,3150000,2020-06-22,75,Länsförsäkringar Fastighetsförmedling,123,9,Fristad,Borås,1800000
31,Slåttervägen 12,Villa,          136         ,2050000,2020-06-22,5,Svensk Fastighetsförmedling,100,5,Timmele,Ulricehamn,1950000
32,Sjödalsvägen 32,Villa,          54         ,2020000,2020-06-22,12,Länsförsäkringar Fastighetsförmedling,103,4,Dalsjöfors,Borås,1800000
33,Bastuvägen 12,Villa,          80         ,3250000,2020-06-22,18,Mäklarhuset,158,7,Aplared,Borås,2750000
34,Linnégatan 23,Villa,          93         ,2100000,2020-06-22,14,Skara Fastighetsbyrå,110,5,Hindsbo,Skara,1850000
35,Ärtvivelvägen 13,Villa,          10         ,3800000,2020-06-21,0,Fastighetsbyrån,155,6,Stenungsund-kyrkenorum,Stenungsund,3800000
36,Skogsvägen 6,Villa,          60         ,2400000,2020-06-21,-2,Mäklarhuset,122,5,Halvorstorp,Trollhättan,2450000
37,Skäggeröd 2A,Villa,          48         ,2900000,2020-06-21,-2,Mäklarhuset,154,6,Tanum,Tanum,2950000
38,Rönngatan 16,Villa,          53         ,3000000,2020-06-20,-14,Svensk Fastighetsförmedling,205,7,Hammarshaget,Åmål,3500000
39,Hesselbomsvägen 60,Villa,          112         ,2100000,2020-06-20,25,Svensk Fastighetsförmedling,118,5,Väster,Åmål,1675000
40,Alehöjd 3,Villa,,3325000,2020-06-18,-1,Fastighetsbyrån,112,4,Stenkullen,Lerum,3350000
41,Ravingatan 4,Villa,,2610000,2020-06-18,1,Fastighetsbyrån,113,4,Centrala Vårgårda,Vårgårda,2575000
42,Barnabäcksvägen 12,Villa,,3100000,2020-06-18,25,Fastighetsbyrån,108,4,Hemsjö,Alingsås,2475000
43,Hantverkaregatan 22,Vinterbonat fritidshus,,3600000,2020-06-18,22,Fastighetsbyrån,100,4,Ellös,Orust,2950000
44,Lextorpsvägen 991,Ej specificerad villa,,2300000,2020-06-18,0,Fastighetsbyrån,103,4,Lextorp,Trollhättan,2300000
45,Erskavägen 2,Villa,          20         ,1875000,2020-06-18,4,Fastighetsbyrån,150,5,Sollebrunn Med Omnejd,Alingsås,1800000
46,Torsredsvägen 53,Villa,          5         ,2500000,2020-06-18,25,Fastighetsbyrån,95,4,Torsered,Trollhättan,2000000
47,Kvartsvägen 18,Villa,,2375000,2020-06-18,10,Svensk Fastighetsförmedling,133,6,Mariestad,Mariestad,2150000
48,Hällesåkersvägen 180,Villa,          35         ,3000000,2020-06-18,0,SkandiaMäklarna,81,4,Hällesåker,Mölndal,3000000
49,Tångenvägen 15,Villa,          14         ,3150000,2020-06-18,-12,HusmanHagberg,162,7,Kungshamn,Sotenäs,3575000
50,Holm Kroken 3,Friliggande villa,,3470000,2020-06-18,1,Hus & Hem,154.4,6,Velanda,Trollhättan,3425000
51,Villavägen 10,Villa,          70         ,3500000,2020-06-18,13,Mäklarhuset,111,5,Bollebygd,Bollebygd,3100000
52,Ållebergsvägen 21,Villa,,2535000,2020-06-17,28,Fastighetsbyrån,153,6,Centrum,Falköping,1975000
53,Konvaljvägen 15,Villa,,2850000,2020-06-17,13,Fastighetsbyrån,81,4,Älvängen,Ale,2525000
54,Glimmergatan 101,Villa,,3535000,2020-06-17,1,Fastighetsbyrån,168,5,Tegelbruket,Alingsås,3500000
55,Gräsviken Bockön 1,Villa,          80         ,3400000,2020-06-17,-4,Fastighetsbyrån,89,5,Öresjö,Trollhättan,3550000
56,Dalenvägen 34,Villa,          57         ,3950000,2020-06-17,5,Fastighetsbyrån,69,4,Rönnäng,Tjörn,3750000
57,Stenkyrkovägen 46,Villa,          53         ,2315000,2020-06-17,3,Fastighetsbyrån,82,4,Kållekärr,Tjörn,2250000
58,"Nyholm 1, 4",Gård,,3720000,2020-06-17,6,Fastighetsbyrån,120,4,På Landet,Hjo,3500000
59,Flicksäter 715,Villa,          64         ,2225000,2020-06-17,-4,Svensk Fastighetsförmedling,210,7,Dalsland,Vänersborg,2325000
60,Tallvägen 1,Villa,          167         ,3525000,2020-06-17,8,Parder & Veres AB,97,7,Bollebygd,Bollebygd,3275000
61,Häggvägen 6,Villa,          8         ,2025000,2020-06-17,14,Fastighetsbyrån,150,6,Länghem,Tranemo,1775000
62,Ekåsvägen 17,Villa,          120         ,2750000,2020-06-17,3,Länsförsäkringar Fastighetsförmedling,120,7,Ekås,Borås,2675000
